config_id,stack_id,component_id,component_type,config_name,config_json,component_listing,row_id,config_row_json,job_id,job_start_at,job_status
8625_kbc-us-east-1_keboola.ex-db-snowflake_1243071053,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake DB,"{""parameters"":{""db"":{""port"":443,""host"":""kebooladev.snowflakecomputing.com"",""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgB20pKFpUfFKYEEAMRufkJ80hJUTUYqC7aRYD6Xhq17KxHcs\/R76Jo6n8Msz9+HjfxV\/1\/Qzqennlll\/YsmcicIac\/h6mkOzLLCdHSePpzyyaihSjDkvKvwMVgqoXAiO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAHHJyutJeBFgCsCtsMTE+C0AAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMlAx0gsL8cacNqm9yAgEQgDvlGrUw4yG+mRtwbN5wEWV35II\/S8X0LxaIXeYaqffOVyfX8P28ndENhwHXxWRbC9cRvhV2Jt5XWPjnJCI7fYZlhHA="",""database"":""HELP_TUTORIAL"",""schema"":""HELP_TUTORIAL"",""warehouse"":""DEV""}}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_1243071053_28706,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-1243071053.ACCOUNT"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""ACCOUNT""}}}",1243078504_kbc-us-east-1,2025-04-23T10:43:06Z,success
8625_kbc-us-east-1_keboola.ex-db-snowflake_1243071053,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake DB,"{""parameters"":{""db"":{""port"":443,""host"":""kebooladev.snowflakecomputing.com"",""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgB20pKFpUfFKYEEAMRufkJ80hJUTUYqC7aRYD6Xhq17KxHcs\/R76Jo6n8Msz9+HjfxV\/1\/Qzqennlll\/YsmcicIac\/h6mkOzLLCdHSePpzyyaihSjDkvKvwMVgqoXAiO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAHHJyutJeBFgCsCtsMTE+C0AAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMlAx0gsL8cacNqm9yAgEQgDvlGrUw4yG+mRtwbN5wEWV35II\/S8X0LxaIXeYaqffOVyfX8P28ndENhwHXxWRbC9cRvhV2Jt5XWPjnJCI7fYZlhHA="",""database"":""HELP_TUTORIAL"",""schema"":""HELP_TUTORIAL"",""warehouse"":""DEV""}}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_1243071053_9412,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-1243071053.cars"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""cars""}}}",1243078504_kbc-us-east-1,2025-04-23T10:43:06Z,success
8625_kbc-us-east-1_keboola.ex-db-snowflake_1245879810,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake Database Extractor,"{""storage"":{""input"":{""tables"":[]}},""parameters"":{""db"":{""port"":443,""host"":""kebooladev.snowflakecomputing.com"",""user"":""HELP_TUTORIAL"",""#password"":""KBC::Secure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgAbWUiGKIn1fGiB+bHhVBNXlidnMaxSNILbQg\/g1wgdOkZqY\/JYQthrWZWy3baLZp+NP+fCS\/BvsvqQSXrcts2rlBHN0A4GVhyWCB0fvT6DWDy6GEZnKp9sSMH4KUciO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAHOp8\/cm2ZOPopRBMA5UA15AAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMxjc3NhQkCoOZyfEuAgEQgDv3h0V1itr6sW1YPevavFms+INFSmX8JlbDwe7q7Qe8bDNltrLBUsTmcMGNFlEHe0Z89Zom0TZ\/l9nVoyI7fbehggw="",""database"":""HELP_TUTORIAL"",""schema"":""HELP_TUTORIAL"",""warehouse"":""DEV""}}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_1245879810_1245879924,"{""processors"":[],""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-1228667734.OPPORTUNITY"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""OPPORTUNITY""}}}",1245879952_kbc-us-east-1,2025-05-06T10:41:34Z,success
8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094,kbc-us-east-1,keboola.ex-db-snowflake,extractor,test,"{""parameters"":{""db"":{""port"":443,""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgD4Z3A8E0U7Uov8cNzFg2ST+5NQbkZQ8SkyqNxbU8PtcUrBVPK9qrgsQ6ClPw\/Uw54MeVBXkhUsSImOCrPEp7O3lCX879Vyx3bdmRuEDFt\/LbqphpEo6zl\/nDcCShwiO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAF5ak00rlN\/Hz5MWOUCfx0QAAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8mPmO8lh\/H1xF5I5AgEQgDv\/t2e7KAHENjFXJSrYUHR\/dihveNFeG0JMujw08kb5flnwjRrLS6xiXsCFJqPmZL0hit3XNvw2FwVjwyI7fawQfoQ="",""database"":""HELP_TUTORIAL"",""warehouse"":""DEV"",""schema"":""HELP_TUTORIAL"",""host"":""kebooladev.snowflakecomputing.com""}},""runtime"":{""parallelism"":""2""}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094_6257,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-985848094.ACCOUNT"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""ACCOUNT""}}}",1091475908_kbc-us-east-1,2024-02-26T14:20:18Z,error
8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094,kbc-us-east-1,keboola.ex-db-snowflake,extractor,test,"{""parameters"":{""db"":{""port"":443,""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgD4Z3A8E0U7Uov8cNzFg2ST+5NQbkZQ8SkyqNxbU8PtcUrBVPK9qrgsQ6ClPw\/Uw54MeVBXkhUsSImOCrPEp7O3lCX879Vyx3bdmRuEDFt\/LbqphpEo6zl\/nDcCShwiO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAF5ak00rlN\/Hz5MWOUCfx0QAAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8mPmO8lh\/H1xF5I5AgEQgDv\/t2e7KAHENjFXJSrYUHR\/dihveNFeG0JMujw08kb5flnwjRrLS6xiXsCFJqPmZL0hit3XNvw2FwVjwyI7fawQfoQ="",""database"":""HELP_TUTORIAL"",""warehouse"":""DEV"",""schema"":""HELP_TUTORIAL"",""host"":""kebooladev.snowflakecomputing.com""}},""runtime"":{""parallelism"":""2""}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094_40996,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-985848094.countries"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""countries""}}}",1042876415_kbc-us-east-1,2023-11-28T12:47:22Z,success
8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094,kbc-us-east-1,keboola.ex-db-snowflake,extractor,test,"{""parameters"":{""db"":{""port"":443,""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgD4Z3A8E0U7Uov8cNzFg2ST+5NQbkZQ8SkyqNxbU8PtcUrBVPK9qrgsQ6ClPw\/Uw54MeVBXkhUsSImOCrPEp7O3lCX879Vyx3bdmRuEDFt\/LbqphpEo6zl\/nDcCShwiO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAF5ak00rlN\/Hz5MWOUCfx0QAAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8mPmO8lh\/H1xF5I5AgEQgDv\/t2e7KAHENjFXJSrYUHR\/dihveNFeG0JMujw08kb5flnwjRrLS6xiXsCFJqPmZL0hit3XNvw2FwVjwyI7fawQfoQ="",""database"":""HELP_TUTORIAL"",""warehouse"":""DEV"",""schema"":""HELP_TUTORIAL"",""host"":""kebooladev.snowflakecomputing.com""}},""runtime"":{""parallelism"":""2""}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094_40996,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-985848094.countries"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""countries""}}}",1043321970_kbc-us-east-1,2023-11-29T09:55:55Z,success
8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094,kbc-us-east-1,keboola.ex-db-snowflake,extractor,test,"{""parameters"":{""db"":{""port"":443,""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgD4Z3A8E0U7Uov8cNzFg2ST+5NQbkZQ8SkyqNxbU8PtcUrBVPK9qrgsQ6ClPw\/Uw54MeVBXkhUsSImOCrPEp7O3lCX879Vyx3bdmRuEDFt\/LbqphpEo6zl\/nDcCShwiO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAF5ak00rlN\/Hz5MWOUCfx0QAAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8mPmO8lh\/H1xF5I5AgEQgDv\/t2e7KAHENjFXJSrYUHR\/dihveNFeG0JMujw08kb5flnwjRrLS6xiXsCFJqPmZL0hit3XNvw2FwVjwyI7fawQfoQ="",""database"":""HELP_TUTORIAL"",""warehouse"":""DEV"",""schema"":""HELP_TUTORIAL"",""host"":""kebooladev.snowflakecomputing.com""}},""runtime"":{""parallelism"":""2""}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094_6257,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-985848094.ACCOUNT"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""ACCOUNT""}}}",1091469860_kbc-us-east-1,2024-02-26T14:03:05Z,success
8625_kbc-us-east-1_keboola.ex-http_1224815421,kbc-us-east-1,keboola.ex-http,extractor,Opportunity Data Extraction,"{""parameters"":{""baseUrl"":""https:\/\/help.keboola.com\/tutorial\/"",""path"":""opportunity.csv""}}",public,,,1224815579_kbc-us-east-1,2025-02-03T21:13:21Z,success
8625_kbc-us-east-1_keboola.ex-http_1224818420,kbc-us-east-1,keboola.ex-http,extractor,User Data Extraction,"{""parameters"":{""baseUrl"":""https:\/\/help.keboola.com""}}",public,8625_kbc-us-east-1_keboola.ex-http_1224818420_1224821436,"{""parameters"":{""path"":""tutorial\/user.csv""},""processors"":{""after"":[{""definition"":{""component"":""keboola.processor-move-files""},""parameters"":{""direction"":""tables"",""folder"":""user-csv""}},{""definition"":{""component"":""keboola.processor-create-manifest""},""parameters"":{""delimiter"":"","",""enclosure"":""\"""",""incremental"":false,""primary_key"":[],""columns_from"":""header""}},{""definition"":{""component"":""keboola.processor-skip-lines""},""parameters"":{""lines"":1}}]}}",1224825853_kbc-us-east-1,2025-02-03T22:20:38Z,success
8625_kbc-us-east-1_keboola.ex-http_1224818456,kbc-us-east-1,keboola.ex-http,extractor,Opportunity Data Extraction,"{""parameters"":{""baseUrl"":""https:\/\/help.keboola.com""}}",public,8625_kbc-us-east-1_keboola.ex-http_1224818456_1224823790,"{""parameters"":{""path"":""\/tutorial\/opportunity.csv""},""processors"":{""after"":[{""definition"":{""component"":""keboola.processor-move-files""},""parameters"":{""direction"":""tables"",""folder"":""opportunity-csv""}},{""definition"":{""component"":""keboola.processor-create-manifest""},""parameters"":{""delimiter"":"","",""enclosure"":""\"""",""incremental"":false,""primary_key"":[],""columns_from"":""header""}},{""definition"":{""component"":""keboola.processor-skip-lines""},""parameters"":{""lines"":1}}]}}",1224825767_kbc-us-east-1,2025-02-03T22:19:14Z,success
8625_kbc-us-east-1_keboola.ex-http_1224818456,kbc-us-east-1,keboola.ex-http,extractor,Opportunity Data Extraction,"{""parameters"":{""baseUrl"":""https:\/\/help.keboola.com""}}",public,8625_kbc-us-east-1_keboola.ex-http_1224818456_1224823816,"{""parameters"":{""path"":""\/tutorial\/opportunity.csv""},""processors"":{""after"":[{""definition"":{""component"":""keboola.processor-move-files""},""parameters"":{""direction"":""tables"",""folder"":""opportunity-csv""}},{""definition"":{""component"":""keboola.processor-create-manifest""},""parameters"":{""delimiter"":"","",""enclosure"":""\"""",""incremental"":false,""primary_key"":[],""columns_from"":""header""}},{""definition"":{""component"":""keboola.processor-skip-lines""},""parameters"":{""lines"":1}}]}}",1224825767_kbc-us-east-1,2025-02-03T22:19:14Z,success
8625_kbc-us-east-1_keboola.ex-http_1224818793,kbc-us-east-1,keboola.ex-http,extractor,Extract Level Data,"{""parameters"":{""baseUrl"":""https:\/\/help.keboola.com\/tutorial""}}",public,8625_kbc-us-east-1_keboola.ex-http_1224818793_1224823161,"{""parameters"":{""path"":""level.csv""},""processors"":{""after"":[{""definition"":{""component"":""keboola.processor-move-files""},""parameters"":{""direction"":""tables"",""folder"":""level-csv""}},{""definition"":{""component"":""keboola.processor-create-manifest""},""parameters"":{""delimiter"":"","",""enclosure"":""\"""",""incremental"":false,""primary_key"":[],""columns_from"":""header""}},{""definition"":{""component"":""keboola.processor-skip-lines""},""parameters"":{""lines"":1}}]}}",1224825867_kbc-us-east-1,2025-02-03T22:20:49Z,success
8625_kbc-us-east-1_keboola.ex-http_1224818793,kbc-us-east-1,keboola.ex-http,extractor,Extract Level Data,"{""parameters"":{""baseUrl"":""https:\/\/help.keboola.com\/tutorial""}}",public,8625_kbc-us-east-1_keboola.ex-http_1224818793_1224821252,"{""parameters"":{""parameters"":{""path"":""\/tutorial\/level.csv""}}}",1224825867_kbc-us-east-1,2025-02-03T22:20:49Z,success
8625_kbc-us-east-1_keboola.ex-http_1227065695,kbc-us-east-1,keboola.ex-http,extractor,Account Opportunities Extraction,"{""parameters"":{""baseUrl"":""https:\/\/help.keboola.com\/tutorial\/"",""path"":""opportunity.csv""}}",public,,,1227093372_kbc-us-east-1,2025-02-12T12:49:41Z,success
8625_kbc-us-east-1_keboola.ex-http_1227065729,kbc-us-east-1,keboola.ex-http,extractor,User and Level Data Extraction,"{""parameters"":{""baseUrl"":""https:\/\/help.keboola.com"",""path"":""\/tutorial\/user.csv""}}",public,,,1227092805_kbc-us-east-1,2025-02-12T12:45:31Z,success
8625_kbc-us-east-1_keboola.ex-http_1227094849,kbc-us-east-1,keboola.ex-http,extractor,Extract Levels Data,"{""parameters"":{""baseUrl"":""https:\/\/help.keboola.com\/tutorial\/"",""path"":""level.csv""}}",public,8625_kbc-us-east-1_keboola.ex-http_1227094849_1227094880,"{""parameters"":{""path"":""level.csv""}}",1227095932_kbc-us-east-1,2025-02-12T13:00:57Z,success
8625_kbc-us-east-1_keboola.ex-http_1227103730,kbc-us-east-1,keboola.ex-http,extractor,Account Opportunities Extraction,"{""parameters"":{""baseUrl"":""https:\/\/help.keboola.com""}}",public,8625_kbc-us-east-1_keboola.ex-http_1227103730_1227122660,"{""parameters"":{""path"":""tutorial\/opportunity.csv""},""processors"":{""after"":[{""definition"":{""component"":""keboola.processor-move-files""},""parameters"":{""direction"":""tables"",""folder"":""opportunity-csv""}},{""definition"":{""component"":""keboola.processor-create-manifest""},""parameters"":{""delimiter"":"","",""enclosure"":""\"""",""incremental"":false,""primary_key"":[],""columns_from"":""header""}},{""definition"":{""component"":""keboola.processor-skip-lines""},""parameters"":{""lines"":1}}]}}",1227131343_kbc-us-east-1,2025-02-12T16:02:08Z,success
8625_kbc-us-east-1_keboola.ex-http_1227103730,kbc-us-east-1,keboola.ex-http,extractor,Account Opportunities Extraction,"{""parameters"":{""baseUrl"":""https:\/\/help.keboola.com""}}",public,8625_kbc-us-east-1_keboola.ex-http_1227103730_1227123259,"{""parameters"":{""path"":""tutorial\/opportunity.csv""},""processors"":{""after"":[{""definition"":{""component"":""keboola.processor-move-files""},""parameters"":{""direction"":""tables"",""folder"":""opportunity-csv""}},{""definition"":{""component"":""keboola.processor-create-manifest""},""parameters"":{""delimiter"":"","",""enclosure"":""\"""",""incremental"":false,""primary_key"":[],""columns_from"":""header""}},{""definition"":{""component"":""keboola.processor-skip-lines""},""parameters"":{""lines"":1}}]}}",1227131343_kbc-us-east-1,2025-02-12T16:02:08Z,success
